fm_id,fm_name
14898,FS Investments
20585,Tessera Venture Partners
3453,Tiedemann Advisors
18200,Third Kind Venture Capital
21099,Inceptiv
20852,Mission Driven Capital Partners
17906,Linse Capital
17566,Heroic Ventures
16665,The Hive
14250,Caffeinated Capital
21114,RevRoad
21116,Chisos
20850,Charger Investment Partners
20801,Stage 2 Capital
20842,Integrity Growth Partners
6530,Hellman & Friedman
21129,mHUB
19068,HighGear Ventures
21142,Sleeping Giant Capital
21172,Monachil Capital Partners
21174,Treehouse Global Ventures
15339,The Builders Fund
17697,Primo Ventures
16882,Draper Associates
10203,Milestone Partners
16618,Vendera Resources
21236,Tramway Venture Partners
19935,Park Cities Asset Management
7045,StepStone Group
5591,Warburg Pincus
21284,Mizzen Capital
19483,Cota Capital
21327,Behrens Investment Group
17805,Rev1 Ventures
16713,Activant Capital
6399,Benchmark
21378,United First Partners Fintech
11030,Javelin Venture Partners
1719,SR One
21372,McGeever
18928,Flying Fish Partners
8105,747 Capital
20374,Banneker Partners
16242,Bluestem Capital Company
21393,Atlassian
20848,Aves Capital Management
17625,Fulcrum Capital Holdings
14520,TTV Capital
15642,Monk's Hill Ventures
21415,DelCam Holdings
20093,Presight Capital
21420,Oval Park Capital
13212,Ribbit Capital
21429,Wingspan Capital
21431,ID Fund
21438,Digital Fuel Capital
21126,Stable Asset Management
2445,Twin Bridge Capital Partners
21440,StrataCity Investments
21441,Abstract Ventures
21458,Santa Barbara Venture Partners
21459,Sugar Capital
10920,Gerber Taylor
21463,Impact Investors
6742,William Blair Capital Partners
16872,Freedom 3 Capital
6361,Advent International
21475,Magnetic Ventures
21476,Carnrite Ventures
21478,HBSE Ventures
876,ATP Private Equity Partners
14905,Second Alpha
18504,The Cynosure Group
21479,WSC & Company
7241,Chrysalis Ventures
21480,Clean Feet Investors I
21481,AIM Group
6708,Thomas H. Lee Partners
21482,Lometa Capital Partners
7251,Telesoft Partners
2175,Arcano Asset Management
8673,Healthcare Royalty Partners
4260,Perella Weinberg Partners
19274,Gallatin Point Capital
21502,SteelSky Ventures
17471,Whitehorse Liquidity Partners
14781,Founders Circle Capital
17546,Epiq Capital
19330,Prime Movers Lab
19503,Blue Elephant Capital Management
20991,Crosspoint Capital Partners
21509,Wavemaker Three-Sixty Health
15027,KG Funds Management LLC
8558,Draper Esprit
21514,Cleveland Avenue
20834,ICP Group
21519,Practical Venture Capital
20174,GSV Asset Management
21521,MGV Capital Group
15038,Alternative Investment Management
17885,Allianz Global Investors
21526,Positive Sum Capital
978,Knightsbridge Advisers
1748,Legacy Venture
13488,The Beekman Group
21531,Peakview Capital
21532,Old Three Hundred Capital
13854,Boldstart Ventures
21539,Ag Solutions Capital
15336,Lead Edge Capital
3703,China Ping An Life Insurance
6683,Sofinnova Partners
1470,HQ Capital
8642,Constitution Capital Partners
21084,Ascend Partners
21562,Neo
21564,Valia Ventures
20109,SV Tech Ventures
12209,Boston Seed Capital
17467,The Venture Reality Fund
6486,Fairview Capital Partners
17828,Lavrock Ventures
19370,Jazz Venture Partners
13574,Amplify Partners
6726,VantagePoint Capital Partners
14719,Female Founders Fund
16712,Tyrus Capital
21580,Bread & Butter Ventures
16755,GreatPoint Ventures
11908,Avante Capital Partners
21584,The Lightsmith Group
21590,Chrystal Capital
8103,Aquiline Capital Partners
16957,JZ Partners
6372,Ampersand Capital Partners
18032,Builders VC
19565,Deciens Capital
16011,Rural American Fund
19247,Domain Capital Group
17858,Fifth Wall
19248,Fiera Comox
8263,Diversified Trust
16719,Altitude Life Science Ventures
20847,Provenance
6732,VSS Capital Partners
15048,Corbel Capital Partners
19485,INVL Asset Management
17470,Bronze
6675,Sequoia Capital
6924,WI Harper Group
6379,Arsenal Capital Partners
4186,SoftBank Group Corp.
19319,Craft Ventures
18121,Breakthrough Energy
21630,Cottonwood Technology Fund
21634,Roebling Capital Partners
21637,Sunstone Management
21650,Progress Equity Partners
6456,Credit Suisse Private Equity
19129,Brand Foundry Ventures
18822,TriSpan
19315,Kingfisher Investment Advisors
19705,Space Angels
1885,Stafford Capital Partners
15622,Fluke Venture Partners
11629,Revolution
18194,ICG Advisors
21670,Veripath Partners
21671,Sound Ventures
20289,Starting Line
16467,Atlas Merchant Capital
19269,Day One Ventures
6589,Menlo Ventures
15812,Source Capital
15128,Vast Ventures
21692,Atypical Partner
18449,Butterfly Equity
20421,Imaginary
9820,Verdis Investment Management
21694,Independent Access Partners
21700,GateCap Ventures
21703,BullVC
19843,Teall Capital
6639,Permira Advisers
10998,Continental Grain Company
20352,Motivate Venture Capital
14270,Raven Capital Management
20375,Plexo Capital
19647,Align Capital
18689,Panacea Venture
6783,Bridgepoint
6812,BPEA EQT Asia
17776,Long Hill Capital
15786,Man Global Private Markets
21713,Looking Glass Capital
21714,Altmore Capital
21717,Franklin Hill Capital
21718,Avego Management
21733,Groove Capital
21734,Equity Squared
21736,2.12 Angels
21737,WinStaPro
13451,Bienville Capital
16980,Gatewood Capital Partners
19367,Diversis Capital
21088,Bestige Holdings
20911,Torch Capital
1860,57 Stars
21578,BayPine
14589,New MainStream Capital
13060,Decheng Capital
18892,Sagard
6402,BioVentures MedTech Funds
5584,Fortress Investment Group
19598,Willow Tree Credit Partners
10990,Azalea Capital
21760,MSP Sports Capital
21768,Worden Capital Management
16893,Cherubic Ventures
15045,Siltstone Capital
12869,Corridor Capital
21771,Fifth Down Capital
21772,AFI Capital Partners
17221,Redmile Group
15870,Accelerator Life Science Partners
15121,Solic Capital
18192,Ludlow Ventures
21775,Unovis Asset Management
19413,Warren Equity Partners
7965,Great Point Partners
21776,Building Ventures
14303,Cultivation Capital
17899,Augment Ventures
14638,Navigation Capital Partners
90,Capital Dynamics
21790,Fannin Innovation Studio
21791,Stormbreaker Ventures
19316,Wildcat Venture Partners
6478,EW Healthcare Partners
18279,Anorak Ventures
12809,Compound
13963,Gopher Asset Management
21799,WVV Capital
19960,Prysm Capital
5723,Life Sciences Partners
21802,ORI Capital
13438,Artemis Capital Partners
21806,KittyHawk Ventures
1292,JAFCO Group
19759,Genoa Ventures
18391,Bitkraft
13555,Tikehau Capital
21807,AllerFund
5589,Pegasus Capital Advisors
14407,Excelerate Health Ventures
20416,Heartland Ventures
21814,Raiven Capital
8180,Rosetta Capital Limited
20966,SER Capital
16504,Rockwood Equity Partners
14165,Fort̩ Ventures
21822,Tamarind HIll
892,Bessemer Trust
21829,Energy Transition Ventures
14595,Patriot Financial Partners
15938,TenOneTen Ventures
13095,HighBar Partners
11184,CPE
7614,Roark Capital Group
19158,Energize Ventures
21461,776 Fund Management
