fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
24462,6635,37538,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
8058,6635,37538,2007,North America,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
9460,6635,37538,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
21153,6635,37539,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
20735,6635,37539,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
23930,6635,37539,2007,Latin America,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
22200,6635,37539,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
7391,6635,37539,2007,North America,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
24412,6635,37539,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,120050000.0,USD,0.0,USD
22816,6635,37540,2008,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
21474,6635,37540,2008,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
19615,6635,37540,2008,Latin America,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
29123,6635,37540,2008,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
29775,6635,37540,2008,North America,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
19662,6635,37540,2008,Western Europe,Diversified,Fund of Funds / Co-Investment,251850000.0,USD,0.0,USD
13756,6635,37541,2010,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
7809,6635,37541,2010,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
2493,6635,37541,2010,Latin America,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
17414,6635,37541,2010,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
20869,6635,37541,2010,North America,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
