lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
245,The Western and Southern Life Insurance Company,3.0,10.0,Insurance Company,"10,613.69",4.0,3.0,4.0,75,"Cincinnati, OH",Ohio
246,The William K. Warren Foundation,4.0,13.0,Foundation,310.79,4.0,2.0,4.0,52,"Tulsa, OK",?Oklahoma
247,Top Tier Capital Partners,4.0,9.0,Fund of Funds,"6,500.00",4.0,3.0,4.0,9,"San Francisco, CA",California
248,Travelers Indemnity Company,3.0,45.0,Insurance Company,"20,699.61",4.0,4.0,4.0,187,"Hartford, CT",Connecticut
249,Trinity Universal Insurance Company,,2.0,Insurance Company,"2,677.40",4.0,2.0,4.0,80,"Jacksonville, FL",Florida
250,Vintage Investment Partners,4.0,8.0,Direct Investment,"3,000.00",4.0,3.0,4.0,10,"Herzilyah Pituach, Israel",Israel
251,West Yorkshire Pension Fund,,10.0,Public Pension Fund,"17,388.78",4.0,2.0,4.0,171,"Bradford, United Kingdom",UnitedKingdom
252,ACP Investment Group,,15.0,Secondary LP,24.42,3.0,1.0,3.0,72,"Rye Brook, NY",New York
253,Aetna Life Insurance Company,3.0,9.0,Insurance Company,"13,883.52",3.0,1.0,3.0,85,"Hartford, CT",Connecticut
254,Alliance Bernstein (NYS: AB),3.0,6.0,Money Management Firm,"739,000.00",3.0,2.0,3.0,9,"Nashville, TN",Tennessee
255,Allianz Life Insurance Company of North America,3.0,8.0,Insurance Company,"108,078.86",3.0,3.0,3.0,18,"Minneapolis, MN",Minnesota
256,Allstate Insurance Company,,11.0,Insurance Company,"48,171.54",3.0,3.0,3.0,279,"Northbrook, IL",Illinois
257,AMK Investment Office,3.0,10.0,Family Office (Single),,3.0,3.0,3.0,11,"London, United Kingdom",UnitedKingdom
258,Asian Development Bank,1.0,11.0,Economic Development Agency,"68,619.00",3.0,2.0,3.0,63,"Mandaluyong City, Philipines",Philipines
259,Auto40wners Insurance Company,,,Insurance Company,,3.0,1.0,3.0,21,"Lansing, Ml",Michigan
260,Autodesk (NAS: ADSK),3.0,3.0,Corporation,"8,531.00",3.0,3.0,3.0,3,"San Rafael, CA",California
261,BAESystems Pension Scheme,,2.0,Corporate Pension,"25,816.74",3.0,2.0,3.0,20,"Farnborough, United Kingdom",UnitedKingdom
262,Banco de Comercio Exterior de Colombia,2.0,4.0,Banking Institution,563.6,3.0,3.0,3.0,11,"Bogota, Colombia",Colombia
263,Baxter International And Subsidiaries Pension Master Trust,3.0,18.0,Corporate Pension,"1,976.00",3.0,2.0,3.0,35,"Deerfield, IL",Illinois
264,Bradley Feld,3.0,4.0,High-net-worth investor,,3.0,3.0,3.0,4,"Boulder, CO",Colorado
265,Bruce E. and Robbi S. Toll Foundation,,,Foundation,42.13,3.0,1.0,3.0,14,"Palm Beach, FL",Florida
266,Case Western Reserve University Endowment,3.0,3.0,Endowment,"2,004.37",3.0,3.0,3.0,4,"Cleveland, OH",Ohio
267,Casey Family Programs,,6.0,Foundation,"2,155.63",3.0,1.0,3.0,73,"Seattle, WA",Washington
268,COP lnvestissements,3.0,3.0,Other limited Partner,,3.0,2.0,3.0,9,"Montreal, Canada",Canada
269,Ceniarth,1.0,4.0,Family Office (Single),,3.0,3.0,3.0,10,"London, United Kingdom",UnitedKingdom
270,Charles K. Blandin Foundation,1.0,49.0,Foundation,43.17,3.0,3.0,3.0,131,"Grand Rapids, MN",Minnesota
271,Charter Township of Clinton Police and Fire Retirement System,,,Public Pension Fund,104.38,3.0,1.0,3.0,14,"Clinton Township, Ml",Michigan
272,Cincinnati Children's Hospital Medical Center,3.0,3.0,Foundation,"1,058.74",3.0,2.0,3.0,3,"Cincinnati, OH",Ohio
273,City of Southfield Employee Retirement System,,,Public Pension Fund,105.14,3.0,1.0,4.0,12,"Southfield, MI",Michigan
274,Colcom Foundation,3.0,10.0,Foundation,494.15,3.0,1.0,3.0,35,"Pittsburgh, PA",Pennsylvania
275,Conversus Capital,3.0,48.0,Fund of Funds,44,3.0,1.0,3.0,298,nan,
276,Corning Pension Plan,3.0,59.0,Corporate Pension,"3,574.36",3.0,1.0,3.0,133,"Corning, NY",New York
277,Credit Suisse (SWX: CSGN),2.0,25.0,Banking Institution,"1,770,000.00",3.0,3.0,3.0,59,"Zurich, Switzerland",Switzerland
278,Crystal Springs Foundation,1.0,4.0,Foundation,44.45,3.0,2.0,3.0,20,"Seattle, WA",Washington
279,Daniels Fund,,,Foundation,"1,637.34",3.0,2.0,3.0,56,"Denver, CO",Colorado
280,David & Carol Myers Foundation,3.0,3.0,Foundation,73.94,3.0,1.0,3.0,19,"Holland, Ml",Michigan
281,David and Inez Myers Foundation,3.0,3.0,Foundation,207.05,3.0,2.0,3.0,18,"Cleveland, OH",Ohio
282,David Cummings,3.0,4.0,High-net-worth investor,,3.0,2.0,3.0,4,nan,
283,Duke Energy Corporation Master Trust,1.0,4.0,Corporate Pension,"8,305.05",3.0,2.0,3.0,35,"Charlotte, NC",?NorthCarolina
284,Eli Lilly (NYS: LLY),3.0,10.0,Corporation,"7,175.80",3.0,3.0,3.0,11,"Indianapolis, IN",Indiana
285,FCA US Pension Plan,1.0,11.0,Corporate Pension,"5,411.57",3.0,2.0,3.0,221,"Auburn Hills, Ml",Michigan
286,Ford Motor Company Master Trust Fund,3.0,32.0,Corporate Pension,"48,671.90",3.0,2.0,3.0,250,"Dearborn, Ml",Michigan
287,Ford Motor Company Trust Fund Private Equity,6.0,39.0,Corporate Pension,"1,823.73",3.0,2.0,6.0,172,"Dearborn, Ml",Michigan
288,Gar Foundation,3.0,3.0,Foundation,140.75,3.0,2.0,3.0,7,"Akron, OH",Ohio
289,General Service Foundation,,,Foundation,80.16,3.0,2.0,3.0,26,"Berkeley, CA",California
290,Georgia Tech Foundation,3.0,6.0,Endowment,"2,452.25",3.0,2.0,3.0,8,"Atlanta, GA",Georgia
291,Government of Nova Scotia,3.0,4.0,Government Agency,"1,726.62",3.0,3.0,3.0,4,"Halifax, Canada",Canada
292,Government of Singapore Investment Corporation(GIC),3.0,29.0,Sovereign Wealth Fund,"744,000.00",3.0,3.0,3.0,92,"Singapore, Singapore",Singapore
293,Hartford HealthCare Corporation Defined Benefit Master Trust Agreement,1.0,11.0,Corporate Pension,"1,813.06",3.0,2.0,4.0,81,"New Britain, CT",Connecticut
294,Harvard Management Company,3.0,29.0,Endowment,"53,200.00",3.0,2.0,3.0,61,"Boston, MA",Massachusetts
295,Hon Hai Precision (TAI: 2317),2.0,2.0,Corporation,"42,485.01",3.0,2.0,3.0,3,"New Taipei City, Taiwan",Taiwan
296,Illinois Growth and Innovation Fund,3.0,3.0,Direct Investment,,3.0,3.0,3.0,3,"Springfield, IL",Illinois
297,Inasmuch Foundation,2.0,11.0,Foundation,301.63,3.0,3.0,3.0,58,"Oklahoma City, OK",Oklahoma
