lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
931,Church Pension Group,,1.0,Corporate Pension,17638.24,1.0,1.0,1.0,20,"New York, NY",New York
932,CICC Jia Cheng Investment Management Company,1.0,55.0,Direct Investment,2517.42,1.0,1.0,1.0,56,"Beijing, China",China
933,Cincinnati Bell,1.0,1.0,Corporation,2603.2,1.0,1.0,1.0,1,"Cincinnati, OH",Ohio
934,Cincinnati Financial (NAS: CINF),1.0,1.0,Corporation,24686,1.0,1.0,1.0,1,"Cincinnati, OH",Ohio
935,CIR¡¤ Compagnie lndustriali Riunite (CHIX: CIRM),1.0,1.0,Corporation,987.62,1.0,1.0,1.0,1,"Milan, Italy",Italy
936,Cisco Systems (NAS: CSCO),1.0,9.0,Corporation,24518,1.0,1.0,1.0,12,"Sanjose, CA",California
937,Cisco Systems Welfare Benefit Plan,1.0,10.0,Corporate Pension,,1.0,1.0,1.0,11,"Sanjose, CA",California
938,Cicco Global Custody,,2.0,Other limited Partner,,1.0,1.0,1.0,8,"Amsterdam, Netherlands",Netherlands
939,Citi Community Capital,,,Economic Development Agency,,1.0,1.0,1.0,1,"New York, NY",New York
940,Citigroup (NYS: C),1.0,4.0,Banking Institution,254722.8,1.0,1.0,1.0,6,"New York, NY",New York
941,City of Fort Lauderdale Police & Fire Retirement System,,1.0,Public Pension Fund,1157.54,1.0,1.0,1.0,11,"Fort Lauderdale, FL",Florida
942,City of Southfield Fire and Police Retirement System,,,Public Pension Fund,225.51,1.0,1.0,1.0,10,"Southfield, MI",Michigan
943,City of St. Petersburg Fire Pension Fund,,,Public Pension Fund,352.45,1.0,1.0,1.0,4,"Saint Petersburg, FL",Florida
944,City of Stamford Police Pension Fund,,,Public Pension Fund,241.06,1.0,1.0,1.0,10,"Stamford, CT",Connecticut
945,Claire Johnson,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"San Francisco, CA",California
946,CNA Insurance Company,1.0,1.0,Insurance Company,1310.13,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
947,Co-Operative Insurance Society,1.0,4.0,Insurance Company,,1.0,1.0,1.0,14,"Mitcheldean, United Kingdom",UnitedKingdom
948,CoBank,1.0,1.0,Banking Institution,33182.84,1.0,1.0,1.0,2,"Denver, CO",Colorado
949,Coca-Cola (NYS: KO),1.0,1.0,Corporation,32326,1.0,1.0,1.0,2,"Atlanta, GA",Georgia
950,Coca-Cola European Partners (LON: CCEP),1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Uxbridge, United Kingdom",UnitedKingdom
951,COLOPL (TKS: 3668),1.0,1.0,Corporation,571.78,1.0,1.0,1.0,1,"Tokyo, Japan",Japan
952,Colorado Trust,1.0,4.0,Foundation,516.75,1.0,1.0,1.0,29,"Denver, CO",Colorado
953,Columbia Partners Private Capital,1.0,7.0,Fund of Funds,646.86,1.0,1.0,1.0,18,"Bethesda, MD",Maryland
954,Columbus Foundation and Affiliated Organizations,1.0,1.0,Foundation,3034.86,1.0,1.0,1.0,1,"Columbus, OH",Ohio
955,Columbus Life Insurance Company,,2.0,Insurance Company,3689.46,1.0,1.0,1.0,12,"Cincinnati, OH",Ohio
956,Commerce and Industry Insurance Company,,4.0,Insurance Company,1533.53,1.0,1.0,1.0,46,"New York, NY",New York
957,Commonfund,1.0,43.0,Wealth Management Firm,24000,1.0,1.0,1.0,108,"Wilton, CT",Connecticut
958,Commons Capital,1.0,1.0,Direct Investment,,1.0,1.0,1.0,1,"Brookline, MA",Massachusetts
959,Commonwealth of Pennsylvania,1.0,1.0,Government Agency,73843,1.0,1.0,1.0,1,"Harrisburg, PA",Pennsylvania
960,Community Investment Management,,,Direct Investment,205.21,1.0,1.0,1.0,2,"San Francisco, CA",California
961,Compound,1.0,1.0,Investment Advisor,118.02,1.0,1.0,1.0,1,"New York, NY",New York
962,Conconi Family Foundation,1.0,1.0,Foundation,19.24,1.0,1.0,1.0,1,"Vancouver, Canada",Canada
963,Conde Nast,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"New York, NY",New York
964,Connecticut State Employees Retirement System,1.0,10.0,Public Pension Fund,15770.5,1.0,1.0,1.0,158,"Hartford, CT",Connecticut
965,Consolidated Edison Retirement Plan,1.0,13.0,Corporate Pension,17228.44,1.0,1.0,1.0,47,"New York, NY",New York
966,Consumer Technology Association,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Arlington, VA",Virginia
967,Control Investments (Jersey),1.0,1.0,Private Investment Fund,,1.0,1.0,1.0,1,"Saint Helier, United Kingdom",UnitedKingdom
968,Conventum,1.0,1.0,Wealth Management Firm,,1.0,1.0,1.0,1,nan,
969,Cooperative For Assistance And Relief Everywhere,,,Foundation,222.71,1.0,1.0,1.0,2,"Atlanta, GA",Georgia
970,CoorsTek,1.0,1.0,Corporation,354.1,1.0,1.0,1.0,1,"Golden, CO",Colorado
971,CopperPoint Mutual Insurance,,,Insurance Company,4505.61,1.0,1.0,1.0,1,"Phoenix, AZ",Arizona
972,Corporaci6n Andina de Fomento,,8.0,Banking Institution,13679.85,1.0,1.0,1.0,15,"Caracas, Venezuela",Venezuela
973,Cortes Capital,1.0,1.0,Other limited Partner,,1.0,1.0,1.0,1,"Prague, Czech Republic",CzechRepublic
974,Corus Entertainment (TSE: CJR.B),1.0,2.0,Corporation,150.22,1.0,1.0,1.0,2,"Toromo, Canada",Canada
975,Cramer Rosenthal McGlynn,1.0,2.0,Fund of Funds,3374.06,1.0,1.0,1.0,5,"Greenwich, CT",Connecticut
976,Crane Group,1.0,1.0,Corporation,,1.0,1.0,1.0,2,"Columbus, OH",Ohio
977,Credit Mutuel Arkea,1.0,10.0,Banking Institution,31785.36,1.0,1.0,1.0,12,"Le Relecq-Kerhuon, France",France
978,Credit Saison (TKS: 8253),1.0,2.0,Corporation,3331.91,1.0,1.0,1.0,2,"Tokyo, Japan",Japan
979,Crown Equipment Corporation Retirement Plan,1.0,1.0,Corporate Pension,344.07,1.0,1.0,1.0,10,"New Bremen, OH",Ohio
980,Crown Premium Private Equity Technology Venture,1.0,2.0,Fund of Funds,,1.0,1.0,1.0,2,"Luxembourg, Luxembourg",Luxembourg
981,CTBC Financial Holdings (TAI: 2891),1.0,1.0,Corporation,8.93,1.0,1.0,1.0,1,"Taipei, Taiwan",Taiwan
982,Cumis Insurance Society,,2.0,Insurance Company,1995.16,1.0,1.0,1.0,49,"Madison, WI",Wisconsin
983,CUNA Mutual Life Insurance Company,,2.0,Insurance Company,,1.0,1.0,1.0,87,"Madison, WI",Wisconsin
984,Curtis Martin,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Highland Park, IL",Illinois
985,CVS Health (NYS: CVS),1.0,1.0,Corporation,31666,1.0,1.0,1.0,6,"Woonsocket, RI",RhodeIsland
986,CWNITU Negotiated Pension Plan,,2.0,Union Pension Fund,576.5,1.0,1.0,1.0,11,"Colorado Springs, CO",Colorado
987,Cyan Banister,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"San Francisco, CA",California
988,Dai-lchi Life Insurance (TKS: 8750),1.0,4.0,Insurance Company,290651.8,1.0,1.0,1.0,15,"Tokyo, Japan",Japan
989,Daiichi Sankyo (TKS: 4568),1.0,3.0,Corporation,8292.55,1.0,1.0,1.0,3,"Tokyo, Japan",Japan
990,Daily Mail and General Holdings,1.0,1.0,Corporation,2363.04,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
991,Daiwa Securities Group (TKS: 8601),1.0,5.0,Money Management Firm,114914.15,1.0,1.0,1.0,6,"Tokyo, Japan",Japan
992,Dan Levitan,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Seattle, WA",Washington
993,Dan Shapiro,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Seattle, WA",Washington
994,Danforth Foundation,1.0,2.0,Foundation,,1.0,1.0,1.0,4,"Saint Louis, MO",Missouri
995,Dani Reiss,1.0,1.0,High-net-worth investor,1300,1.0,1.0,1.0,1,"Toromo, Canada",Canada
996,Danica Pension,,7.0,Corporate Pension,73993.77,1.0,1.0,1.0,183,"Copenhagen, Denmark",Denmark
997,Daniel Gilbert,1.0,1.0,High-net-worth investor,31200,1.0,1.0,1.0,1,"Franklin, Ml",Michigan
998,Daniel P. Amos Family Foundation,,1.0,Foundation,62.15,1.0,1.0,1.0,9,"Columbus, GA",Georgia
999,Daniel Rosensweig,1.0,1.0,High-net-worth investor,25,1.0,1.0,1.0,1,"San Francisco, CA",California
1000,Danny Zhang,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"San Francisco, CA",California
1001,David Alan Pears,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,2,"New York, NY",New York
1002,David Baron,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Santa Monica, CA",California
1003,David Carter,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1004,David Rabie,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Chicago, IL",?Illinois
1005,David Rainbolt,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Oklahoma City, OK",Oklahoma
1006,David Rose,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,4,"New York, NY",New York
1007,Day Pitney Profit Sharing and 401(K) Plan,1.0,2.0,Corporate Pension,341.22,1.0,1.0,1.0,2,"Parsippany, NJ",New Jersey
1008,Deep Fork Capital,1.0,1.0,Direct Investment,,1.0,1.0,1.0,1,"San Francisco, CA",California
1009,Deka Immobilien Luxembourg,,,Real Estate Investment Company,,1.0,1.0,1.0,2,"Luxembourg, Luxembourg",Luxembourg
1010,Delaware Public Employees' Retirement System,1.0,24.0,Public Pension Fund,14500,1.0,1.0,1.0,36,"Dover, DE",Delaware
1011,Dennis Miller,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1012,Desjardins Group Pension Plan,1.0,2.0,Corporate Pension,17221.35,1.0,1.0,1.0,13,"Levis, Canada",Canada
1013,Deutsche Bahn Digital Ventures,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Berlin, Germany",Germany
1014,Deutsche Bank (ETR: DBK),,6.0,Banking Institution,1020650.95,1.0,1.0,1.0,36,"Frankfun, Germany",Germany
1015,Deutsche Morgan Grenfell,1.0,1.0,Investment Advisor,12.85,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
1016,Deutsche Morgan Grenfell Group,1.0,1.0,Private Investment Fund,1242.15,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
1017,Deva finger,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Miami, FL",Florida
1018,Development Bank of Japan,1.0,10.0,Banking Institution,39753.7,1.0,1.0,1.0,35,"Tokyo, Japan",Japan
1019,Development Bank of Southern Africa,,,Economic Development Agency,885.26,1.0,1.0,1.0,9,"Midrand, South Africa",SouthAfrica
1020,DG Ventures,1.0,1.0,Direct Investment,1.26,1.0,1.0,1.0,1,"Mullingar, Ireland",Ireland
1021,DG Ventures Uapan),1.0,1.0,Direct Investment,,1.0,1.0,1.0,1,"Tokyo, Japan",Japan
1022,DH,1.0,1.0,,,1.0,1.0,1.0,1,"Toronto, Canada",Canada
1023,Dian Graves Owen foundation,1.0,2.0,"Corporation
Foundation",216.94,1.0,1.0,1.0,14,"Abilene, TX",Texas
1024,Diego Berdakin,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Beverly Hills, CA",California
1025,Dimensions Health Corporation Pension Plan,1.0,1.0,Corporate Pension,,1.0,1.0,1.0,2,"Laurel, MD",Maryland
1026,District of Columbia Retirement Board,,6.0,Public Pension Fund,10900,1.0,1.0,1.0,129,"Washington, DC",District of Columbia
1027,Dong Yi Ri Sheng Home Decoration Group Company £¨SHE:002713),1.0,2.0,Corporation,190.04,1.0,1.0,1.0,2,"Beijing, China",China
1028,Doosan Heavy Industries & Construction Company (KRX:034020),1.0,2.0,Corporation,3585.62,1.0,1.0,1.0,2,"Changwon, South Korea",SouthKorea
1029,Doris Duke Charitable Foundation,1.0,17.0,Foundation,2417.5,1.0,1.0,1.0,61,"New York, NY",New York
1030,Dorm Room Fund,1.0,1.0,Direct Investment,,1.0,1.0,1.0,1,"Philadelphia, PA",Pennsylvania
1031,Doug Smith,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Washington, DC",District of Columbia
1032,Douglas Bergeron,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Atherton, CA",California
1033,Devi Frances,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Malibu, CA",California
1034,Dow Venture Capital,1.0,6.0,Direct Investment,,1.0,1.0,1.0,6,"Midland, Ml",Michigan
1035,Duchossois Group Pension Plan,1.0,3.0,Corporate Pension,0.17,1.0,1.0,1.0,6,"Chicago, IL",?Illinois
1036,Duke Energy (NYS: OUK),1.0,4.0,Corporation,1220,1.0,1.0,1.0,5,"Charlotte, NC",?NorthCarolina
1037,Oun & Bradstreet Credibility 401(k) Plan,1.0,1.0,Corporate Pension,,1.0,1.0,1.0,1,"Malibu, CA",California
1038,Dundee Venture Capital,1.0,2.0,Direct Investment,75,1.0,1.0,1.0,2,"Omaha, NE",Nebraska
1039,DuPont Pension Trust Fund,,45.0,Corporate Pension,16275.26,1.0,1.0,1.0,302,"Wilmington, DE",Delaware
1040,Duquesne Light Company,1.0,9.0,Corporation,,1.0,1.0,1.0,21,"Pittsburgh, PA",Pennsylvania
1041,Dysruptek,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Jacksonville, FL",Florida
1042,East West Bancorp (NAS: EWBC),,,Banking Institution,61000,1.0,1.0,1.0,3,"Pasadena, CA",California
1043,Eastman Chemical Company (NYS: EMN),1.0,1.0,Corporation,15519,1.0,1.0,1.0,2,"Kingsport, TN",Tennessee
1044,Eastman Retirement Assistance Plan,,,Corporate Pension,1548.58,1.0,1.0,1.0,1,"Kingsport, TN",Tennessee
1045,Eaton Master Retirement Trust,1.0,1.0,Corporate Pension,3478.41,1.0,1.0,1.0,7,"Cleveland, OH",Ohio
1046,Ecole de technologie superieure,1.0,1.0,University (Non-Endowment),,1.0,1.0,1.0,1,"Montreal, Canada",Canada
1047,Ed Wilson,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1048,Edgerton Foundation,,3.0,Foundation,122.74,1.0,1.0,1.0,31,"Los Angeles, CA",California
1049,EdgeStone Capital Partners,1.0,5.0,Fund of Funds,1580.51,1.0,1.0,1.0,8,"Toromo, Canada",Canada
1050,Eduardo Saverin,1.0,2.0,High-net-worth investor,18200,1.0,1.0,1.0,2,"Singapore, Singapore",Singapore
1051,Eisai (TKS: 4523),1.0,2.0,Corporation,,1.0,1.0,1.0,2,"Tokyo, Japan",Japan
1052,El Fondo Nacional de Pensiones de los Trabajadores el servicio del Estado,1.0,1.0,Public Pension Fund,403.13,1.0,1.0,1.0,1,"Mexico City, Mexico",Mexico
1053,El Oro and Exploration,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Southend, United Kingdom",UnitedKingdom
1054,El Paso Firemen & Policemen's Pension Fund,,1.0,Public Pension Fund,1900,1.0,1.0,2.0,178,"El Paso, TX",Texas
1055,Electricite de France (PAR: EDF),1.0,7.0,Corporation,124885.66,1.0,1.0,1.0,15,"Paris, France",France
1056,Electrolux Home Products Master Trust,,,Corporate Pension,926.41,1.0,1.0,1.0,7,"Charlotte, NC",?NorthCarolina
1057,Ellington Investments,1.0,1.0,Private Investment Fund,0.01,1.0,1.0,1.0,1,"Saint Ives, United Kingdom",UnitedKingdom
1058,Elo Mutual Pension Insurance,1.0,29.0,Corporate Pension,29695.66,1.0,1.0,1.0,250,"Espoo, Finland",Finland
1059,Elton Brand,1.0,2.0,High-net-worth investor,70,1.0,1.0,1.0,2,"New York, NY",New York
1060,Emerald Asset Management,1.0,1.0,Investment Advisor,78.49,1.0,1.0,1.0,1,"Rocky Mount, NC",NorthCarolina
1061,Emilio Diez Barroso,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1062,Employees Pension Plan of Battelle Memorial Institute,1.0,9.0,Corporate Pension,630.61,1.0,1.0,1.0,71,"Columbus, OH",Ohio
1063,Employees Retirement System of Texas,1.0,10.0,Public Pension Fund,35500,1.0,1.0,1.0,282,"Austin, TX",Texas
1064,ENGiENorth America,1.0,3.0,Corporation,,1.0,1.0,1.0,4,"Houston, TX",Texas
1065,Enterprise Ireland,1.0,28.0,Economic Development Agency,598.97,1.0,1.0,1.0,31,"Dublin, Ireland",Ireland
1066,Entis Lebensversicherung,,,Insurance Company,1166.07,1.0,1.0,1.0,1,"Berlin, Germany",Germany
1067,eQ Asset Management (HEL: EQV1V),1.0,10.0,Fund of Funds,43.81,1.0,1.0,1.0,51,"Helsinki, Finland",Finland
1068,Equifax U.S. Retirement Income Plan,1.0,7.0,Corporate Pension,597.95,1.0,1.0,1.0,26,"Atlanta, GA",Georgia
1069,Equinor (OSL: EQNR),1.0,3.0,Corporation,47800,1.0,1.0,1.0,6,"Stavanger, Norway",Norway
1070,Eric Manlunas,1.0,8.0,High-net-worth investor,600,1.0,1.0,1.0,8,"Los Angeles, CA",California
1071,Erie Insurance (NAS: ERIE),,,Insurance Company,761.98,1.0,1.0,1.0,4,"Erie, PA",Pennsylvania
1072,Essex County Council Pension Fund,,18.0,Public Pension Fund,8491.98,1.0,1.0,1.0,110,"Chelmsford, United Kingdom",UnitedKingdom
1073,Eterna Capital,1.0,1.0,Private Investment Fund,18.7,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
1074,Ethics And Excellence in Journalism Foundation,1.0,3.0,Foundation,,1.0,1.0,1.0,22,"Oklahoma City, OK",Oklahoma
1075,Euclidean Capital,1.0,1.0,Family Office (Single),,1.0,1.0,1.0,1,"New York, NY",New York
1076,European Bank for Reconstruction and Development,1.0,28.0,Economic Development Agency,76737.99,1.0,1.0,1.0,181,"London, United Kingdom",UnitedKingdom
1077,European Union,1.0,7.0,Government Agency,143446.55,1.0,1.0,1.0,11,"Brussels, Belgium",Belgium
1078,Eva Longoria,,,Other limited Partner,,1.0,1.0,1.0,1,"Santa Monica, CA",California
1079,Everest Reinsurance Company,,1.0,Insurance Company,15090.57,1.0,1.0,1.0,25,"Warren, NJ",New Jersey
1080,Everett Dobson,1.0,1.0,Other limited Partner,,1.0,1.0,1.0,1,"Oklahoma City, OK",Oklahoma
1081,Evergreen National Indemnity Company,1.0,1.0,Insurance Company,64.25,1.0,1.0,1.0,1,"Mayfield Heights, OH",Ohio
1082,Eversource Retirement Plan Master Trust,,18.0,Corporate Pension,5170.42,1.0,1.0,1.0,211,"Hartford, CT",Connecticut
1083,Evli Growth Partners,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Helsinki, Finland",Finland
1084,Evonik Venture Capital,1.0,7.0,Corporation,274.96,1.0,1.0,1.0,7,"Hanau, Germany",Germany
1085,Exelon Corp Pension Master Trust - CEG Alternative,,2.0,Corporate Pension,7.14,1.0,1.0,1.0,25,"Chicago, IL",?Illinois
1086,Exelon Corp Pension Master Trust - PE PECO,,9.0,Corporate Pension,,1.0,1.0,1.0,31,"Chicago, IL",?Illinois
1087,Exelon Corp Pension Master Trust-Pepco,,1.0,Corporate Pension,12.57,1.0,1.0,1.0,10,"Chicago, IL",?Illinois
1088,Exelon Corporation Retirement Program,,15.0,Corporate Pension,15059.37,1.0,1.0,1.0,131,"Chicago, IL",?Illinois
1089,F. R. Bigelow Foundation,1.0,2.0,Foundation,175.95,1.0,1.0,1.0,9,"Saint Paul, MN",Minnesota
1090,Fady Yacoub,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"New York, NY",New York
1091,Fairfax Financial Holdings (TSE: FFH),1.0,1.0,Other limited Partner,,1.0,1.0,1.0,1,"Toromo, Canada",Canada
1092,Federal Holding and Investment Company,1.0,14.0,Economic Development Agency,15397.75,1.0,1.0,1.0,21,"Brussels, Belgium",Belgium
1093,Fenner Pension Scheme Trustee,,,Corporate Pension,,1.0,1.0,1.0,1,"Stoke-on-Trent, United Kingdom",UnitedKingdom
1094,Fennia Group,1.0,4.0,Insurance Company,1801.99,1.0,1.0,1.0,12,"Helsinki, Finland",Finland
1095,Ferguson Ventures,1.0,1.0,Direct Investment,,1.0,1.0,1.0,1,"Newport News, VA",Virginia
1096,Fernwood Ventures,1.0,1.0,Private Investment Fund,,1.0,1.0,1.0,1,"Debary, FL",Florida
1097,Fidelity National Information Services (NYS: FIS),1.0,1.0,Corporation,82288,1.0,1.0,1.0,2,"Jacksonville, FL",Florida
1098,Fiduciary Trust International,,1.0,Wealth Management Firm,103000,1.0,1.0,1.0,3,"Lincoln, MA",Massachusetts
1099,Fier Partners,1.0,8.0,Private Investment Fund,180,1.0,1.0,1.0,8,"Montreal, Canada",Canada
1100,Finalta Capital,1.0,1.0,Wealth Management Firm,95,1.0,1.0,1.0,1,"Montreal, Canada",Canada
1101,FinOev Canada,1.0,2.0,Economic Development Agency,160.96,1.0,1.0,1.0,4,"Montreal, Canada",Canada
1102,Finvest,1.0,1.0,Private Investment Fund,,1.0,1.0,1.0,1,"Helsinki, Finland",Finland
1103,First Bank (St. Louis),1.0,2.0,Banking Institution,2477.23,1.0,1.0,1.0,2,"Creve Coeur, MO",Missouri
1104,First Close Partners,1.0,3.0,Direct Investment,,1.0,1.0,1.0,3,"New York, NY",New York
1105,First Republic Bank (NYS: FR(),,,Banking Institution,280000,1.0,1.0,1.0,2,"San Francisco, CA",California
1106,FirstEnergy (NYS: FE),1.0,1.0,Corporation,2339,1.0,1.0,1.0,1,"Akron, OH",Ohio
1107,FMI,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Raleigh, NC",NorthCarolina
1108,Fondation Mirella & Lino Saputo,1.0,1.0,Foundation,292.58,1.0,1.0,1.0,1,"Saint4Leonard, Canada",Canada
1109,Fondazione Cariplo,1.0,4.0,Foundation,8631.91,1.0,1.0,1.0,25,"Milan, Italy",Italy
1110,Fondazione Cassa di Risparmio di Padova e Rovigo,1.0,1.0,Foundation,2794.69,1.0,1.0,1.0,3,"Padua, Italy",Italy
1111,Fondazione CRT,1.0,1.0,Foundation,2505.29,1.0,1.0,1.0,1,"Turin, Italy",Italy
1112,Fondo Italiano d'Investimento,1.0,12.0,Direct Investment,2749.6,1.0,1.0,1.0,25,"Milan, Italy",Italy
1113,Ford (NYS: F),1.0,1.0,Corporation,49781,1.0,1.0,1.0,1,"Dearborn, Ml",Michigan
1114,Ford Motor Company Trust Fund Real Estate,1.0,,Corporate Pension,1222.26,1.0,1.0,1.0,70,"Dearborn, Ml",Michigan
1115,Foresight Group (LON: FTSV),1.0,1.0,Wealth Management Firm,8798.72,1.0,1.0,1.0,1,"London, United Kingdom",UnitedKingdom
1116,Forsta AP-fonden,1.0,7.0,Public Pension Fund,45575.67,1.0,1.0,1.0,60,"Stockholm, Sweden",Sweden
1117,Fort Worth Employees' Retirement Fund,,7.0,Public Pension Fund,2667.2,1.0,1.0,1.0,94,"Fort Worth, TX",Texas
1118,Fortum (HEL: FORTUM),1.0,1.0,Corporation,20572.5,1.0,1.0,1.0,1,"Espoo, Finland",Finland
1119,Foundation at New Jersey Institute of Technology,1.0,1.0,Endowment,129.18,1.0,1.0,1.0,13,"Newark, NJ",New Jersey
1120,Foundation of the Massachusetts Eye & Ear lnfirmary,,,Foundation,266.43,1.0,1.0,1.0,4,"Boston, MA",Massachusetts
1121,Founders Fund,1.0,2.0,Direct Investment,11000,1.0,1.0,1.0,2,"San Francisco, CA",California
1122,FourBridge Partners,1.0,1.0,Secondary LP,34.15,1.0,1.0,1.0,1,"Wellesley, MA",Massachusetts
1123,Franklin Sports Pension Trust,,,Corporate Pension,9.25,1.0,1.0,1.0,1,"Stoughton, MA",Massachusetts
1124,Franklin Templeton (NYS: BEN),,,Money Management Firm,1580000,1.0,1.0,1.0,10,"San Mateo, CA",California
1125,FreshDirect,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Bronx, NY",New York
1126,Fuji America,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Vernon Hills, IL",Illinois
1127,Fund For Wisconsin Scholars,,3.0,Foundation,205.99,1.0,1.0,1.0,30,"Madison, WI",Wisconsin
1128,Fuyo General Lease Company (TKS: 8424),1.0,1.0,Corporation,4470.5,1.0,1.0,1.0,1,"Tokyo, Japan",Japan
1129,Galen Weston,1.0,1.0,High-net-worth investor,7000,1.0,1.0,1.0,1,"Toromo, Canada",Canada
1130,Gartmore Private Equity,1.0,4.0,Fund of Funds,37.03,1.0,1.0,1.0,21,"London, United Kingdom",UnitedKingdom
1131,Gary Community Ventures,1.0,2.0,Foundation,,1.0,1.0,1.0,2,"Denver, CO",Colorado
1132,Gaylord and Dorothy Donnelley Foundation,,4.0,Foundation,185.3,1.0,1.0,1.0,23,"Chicago, IL",?Illinois
1133,GCM Grosvenor (NAS: GCMG),1.0,1.0,Money Management Firm,72000,1.0,1.0,1.0,27,"Chicago, IL",?Illinois
1134,Gen] Investments,1.0,1.0,Corporation,,1.0,1.0,1.0,1,"Fargo, ND",NorthDakota
1135,General Catalyst,1.0,3.0,Direct Investment,9127.84,1.0,1.0,1.0,3,"New York, NY",New York
1136,Genesee Regional Bank,1.0,1.0,Banking Institution,330.67,1.0,1.0,1.0,1,"Rochester, NY",New York
1137,George Rose,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1138,George Weston (TSE: WN),1.0,1.0,Corporation,12867,1.0,1.0,1.0,1,"Toronto, Canada",Canada
1139,Georgia-Pacific GB Company Money Purchase Pension Plan,1.0,1.0,Corporate Pension,,1.0,1.0,1.0,1,"Edinburgh, United Kingdom",UnitedKingdom
1140,Gigi Lee Chang,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"New York, NY",New York
1141,Gil Elbaz,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,"Los Angeles, CA",California
1142,Global Endowment Management,1.0,1.0,Money Management Firm,12000,1.0,1.0,1.0,2,"Charlotte, NC",?NorthCarolina
1143,Global Energy Efficiency and Renewable Energy Fund,,1.0,Fund of Funds,222,1.0,1.0,1.0,9,"Luxembourg, Luxembourg",Luxembourg
1144,Global Environment Facility,,1.0,Corporation,,1.0,1.0,1.0,3,"Washington, DC",District of Columbia
1145,Global Vision,,18.0,Fund of Funds,,1.0,1.0,1.0,31,"Freiburg, Germany",Germany
1146,Globalive Capital,1.0,2.0,Direct Investment,,1.0,1.0,1.0,3,"Toronto, Canada",Canada
1147,Gloden (SHE: 002410),1.0,2.0,Corporation,2040,1.0,1.0,1.0,2,"Beijing, China",China
1148,Golden LEAF Foundation,1.0,4.0,Foundation,1145.63,1.0,1.0,1.0,4,"Rocky Mount, NC",NorthCarolina
1149,Golden State Investment Fund,1.0,3.0,Fund of Funds,500,1.0,1.0,1.0,9,"San Francisco, CA",California
1150,Goodnow Fund,,,Foundation,25.12,1.0,1.0,1.0,1,"Darien, CT",Connecticut
1151,Gordon Segal,1.0,1.0,High-net-worth investor,,1.0,1.0,1.0,1,nan,
1152,Government Of Alberta,1.0,2.0,Government Agency,32509,1.0,1.0,1.0,2,"Edmonton, Canada",Canada
1153,Government of Canada,1.0,3.0,Government Agency,344328.42,1.0,1.0,1.0,5,"Ottawa, Canada",Canada
1154,Government of Ontario,1.0,2.0,Government Agency,62300,1.0,1.0,1.0,2,"Toromo, Canada",Canada
1155,Government of Quebec,1.0,3.0,Government Agency,37448.61,1.0,1.0,1.0,3,"Montreal, Canada",Canada
