investor_id,investor_name
379,DCA Capital Partners
380,Decentral Park Capital
381,Decibel Partners
382,Deepwork Capital
383,Delaware Innovation Space
384,Dev Equity
385,Diagram Ventures
386,Differential Ventures
387,DILACapital
388,Disruptive Technologies Venture Capital
389,Divyde Capital Partners
390,Dorsey Asset Management
391,Draper Goren Holm
392,Draper Richards Kaplan Foundation
393,Duhne Investments
394,Dundee Venture Capital
395,DWD Partners
396,E14 Fund Management
397,e360 Power
398,Eachwin Capital
399,Eagle Venture Fund
400,Earthrise Capital
401,Earthshot Ventures
402,East Chop Capital
403,Elanus Capital Management
404,Elevar Equity
405,Elevate Ventures
406,Elsewhere Partners
407,Emerald Peak Impact Private Equity
408,Emergent Ventures
409,Encourage Capital
410,Endeavor Catalyst
411,Endowment Research Group
412,Energy Transition Ventures
413,EnerTech Capital
414,Entourage Effect Capital
415,EQUIAM
416,Eutopia
417,Evening Fund
418,Evok Innovations
419,Evolution Private Investment Collective
420,Excelerate Health Ventures
421,Exigent Alternative Capital
422,Expanding Capital
423,ExWorks Capital
424,Fairway Capital Management
425,Farol Asset Management
426,FCA Health Innovations
427,Fernbrook Capital Management
428,Fernwood Investment Management
429,Financial Venture Studio
430,First Ascent Ventures
431,First Hedge Capital Management
432,First In
433,First Launch Capital Fund
434,Fledge
435,Fluke Venture Partners
436,Flying Fish Partners
437,Flywheel Ventures
438,Foothill Ventures
439,Fores Ventures
440,Formation Venture Engineering
441,Forte Ventures
442,Fortis Capital Management
443,Fortress Partners Capital Management
444,Forum Asset Management
445,Founders Equity Partners
446,Founders First Capital Partners
447,Frist Cressey Ventures
448,Front Row
449,Front Street Capital (Winston-Salem)
450,Fuel Venture Capital
451,Fulcrum Global Capital
452,Full In Partners
453,FullCycle
454,Fuse (Seattle)
455,FusionX Ventures
456,Future\Perfect Ventures
457,FVLCRUM Funds
458,Gary Vaynerchuk
459,Genesis Innovation Group
460,Genesis Ventures
461,Genius Guild
462,Genoa Ventures
463,Genome British Columbia
464,GenSpring Family Offices
465,GFR Fund
466,Ginepri Capital Partners
467,Glean Capital
468,Gold House Ventures
469,Goldcrest Capital
470,Grand Ventures
471,Gravity Ventures
472,Gray Ventures
473,Great North Ventures
474,GreenSky Capital
475,Greybull Stewardship
476,Groove Capital
477,Guadalajara Angel Investor Network
478,H Venture Partners
479,Halstatt
480,Hambrecht Ducera Growth Ventures
481,Hangar 4 Partners
482,Harbinger Ventures
483,Harbor lthaka Wealth Management
484,Harbright Ventures
485,Harlan Capital Partners
486,Harmonic Growth Partners
487,Harvest Returns
488,Hatch Biofund Management
489,Haymaker Ventures
490,Headlands Asset Management
491,Heartland Venture
492,Heda Ventures
493,Hickory Lane Capital Management
494,HighCape Capital
495,Hilbert 8
496,HIP Investor
497,Homaer International
498,Horn Eichenwald Investments
499,Huck Capital
500,Hudson Advisors
501,Hunter Trust
502,Hustle Fund
503,HX Venture Fund
504,ldealabx
505,IDED CoLab Ventures
506,lllumen Capital
507,Illuminate Ventures
508,Impact Engine
509,Impression Ventures
510,Incisive Ventures
511,lnCube Ventures
512,Inflection Equity
513,Innovation Partnerships at the University of Michigan
514,Innovative Portfolios
515,Integral Capital Partners
516,lntelliVenture Group
517,lnvemus Capital Partners
518,Invest Detroit Ventures
519,Invest Nebraska
520,Invest Northern Ireland
521,Investors Diversified Realty
522,IP Group North America
523,Ironsides Partners
524,Irvington Capital
525,Israel Investment Advisors
526,JourneyOne Ventures
527,Jumpstart Health Investors
528,Juniper Investment Company
529,Kairos HQ
530,Kairos Ventures
531,Karmel Capital
532,KB Partners
533,KdT Ventures
534,Keiretsu Capital
535,Kenter Canyon Capital
536,Kirenaga
537,KL Capital Investments
538,Knickerbocker Capital (t-.ew York)
539,Krusen Capital Management
540,L.R.L. Capital
541,Laconia Capital Group
542,Lakehouse Ventures
543,Las Olas Venture Capital
544,LATVC
545,Launchpad Capital
546,Laurence Innovation
547,LDVCapital
548,LDV Partners
549,Legacy Ventures Partners
550,Lehigh Valley Private Equity Fund
551,Lewis & Clark Ventures
552,Lexion Capital
553,LifeSci Venture Partners
554,LionBird
555,Liquid Stock
556,Lone Peak Partners Management
557,Longevity Vision Fund
558,LRVHealth
559,Ludlow Ventures
560,Lydia Partners
561,Lynett Capital
562,Lytical Ventures
563,Ma( Venture Capital
564,MagnifyVC
565,ManchesterStory
566,MaRS Investment Accelerator Fund
567,Massif Capital
568,Matrix Planning
569,Maven Ventures
570,MBX Capital
571,MCP Asset Management Company
572,Medical Excellence Capital
573,MedMountain Ventures
574,Megatel Capital Investment
575,Meridian Street Capital
576,MetaProp NYC
577,Metavasi Capital
578,MGV Capital Group
579,MHP Real Estate Services
580,Michigan Angel Fund
581,MiLA Capital
582,MissionOG
583,Mistral Venture Partners
584,MizMaa Ventures
585,Monachil Capital Partners
586,Moneta Ventures
587,Montage Ventures
588,MONTICELLOAM
589,Mosaic Capital Partners
590,Mosaik Partners
591,Motus Ventures
592,Mutual Capital Partners
593,My.Games Venture Capital
594,Natural Products Canada
595,Navigate Ventures
596,NetService Ventures
597,New Markets Venture Partners
598,New Paradigm Capital Management
599,New Summit Investments
600,Nexit Ventures
601,Next Generation Technology
602,Next Ventures (Texas)
603,NextEquity Partners
604,Nexus Capital
605,NFP Ventures
606,NGIFCleamech Ventures
607,Night Ventures
608,Norselab
609,North Island Ventures
610,NRG Ventures
611,OceanlQ Capital
612,Oceans Ventures
613,Ocelot Capital Management
614,Offline Ventures
615,Omaha Beach Capital
616,Omidyar Network
617,OnePrime Capital
618,ONEVC
619,Onsight Capital Management
620,Open Field Capital
621,Operator Collective
622,Opus8
623,Oregon Venture Fund
624,OS Fund
625,OSFVentures
626,Oyster Ventures
627,P.A.W. Capital Partners
628,Pactolus
629,Panache Ventures
630,Pando Ventures (Utah)
631,Pangaea Ventures
632,Pangea Blockchain Fund
633,Parliament Capital Management
634,Paskewitz Asset Management
635,Peapod Lane Capital
636,Pearson Ventures
637,Pelorus Equity Group
638,Pemigewasset Capital
639,Pender Ventures
640,Phalanx Capital Management
641,Phoenix Venture Partners
642,Pico Pan:ners
643,Piedmont Investment Advisory
644,Pine Street Alternative Asset Management
645,Pioneer Fund (San Francisco)
646,Pitbull Ventures
647,Plexo Capital
648,Plum Alley Investments
649,Plus Capital
650,Plymouth Growth
651,Portland Seed Fund
652,Powerhouse Capital (California)
653,Prescott Group
654,Presidio View Capital
655,Privet Fund Management
656,Profec Partners
657,Progression Fund
658,Prudence
659,Prudent Capital
660,QSTCapital
661,Quest Ventures
662,Quidnet Ventures
663,R2 Risk & Return
664,Race Capital
665,Railroad Ranch Capital Management
666,Rain Capital
667,Raindrop Partners
668,Rainmaking (UK)
669,Razor's Edge Ventures
670,Red River West
671,Reflow
672,Reinventure Capital Fund I
673,Relay Investments
674,Relentless Venture Fund
675,Revere Capital
676,Rhapsody Venture Partners
677,Rhino Ventures
678,Rincon Venture Partners
679,Ripple Ventures
680,RM Global Partners
681,Roble Ventures
682,rocketship.vc
683,Rod Capital Management
