fm_name,fm_id
McKinley Capital Management,19715
McKinley Capital Management,19715
Barings,2161
Barings,2161
Barings,2161
Denham Capital Management,8627
Balbec Capital,16901
Balbec Capital,16901
Balbec Capital,16901
Balbec Capital,16901
Balbec Capital,16901
Balbec Capital,16901
Crosslink Capital,7181
Prairie Capital Management,9296
Entourage Effect Capital,18935
Entourage Effect Capital,18935
Entourage Effect Capital,18935
Marchant,20189
Impact Venture Capital,20190
iCapital Network,20104
Rosecliff Ventures,17453
Quilvest,5348
Morgan Creek Capital Management,2898
Closed Loop Partners,17947
Closed Loop Partners,17947
National Asset Management,19536
Apollo Global Management,8096
Oberland Capital,14467
Oberland Capital,14467
Oberland Capital,14467
Oberland Capital,14467
Partners Group,5595
Partners Group,5595
Partners Group,5595
Founders Fund,8996
GoldenTree Asset Management,17570
Blackstone,5611
Steelhead Capital Management,18662
Steelhead Capital Management,18662
Steelhead Capital Management,18662
Steelhead Capital Management,18662
Qualcomm Ventures,3901
Blackstone,5611
FirstMark Capital,10645
Polychain Capital,20195
Polychain Capital,20195
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
SEAF,7091
Pathway Capital Management,6635
Satori Capital,12635
Satori Capital,12635
Satori Capital,12635
Satori Capital,12635
Gallacher Capital Management,19425
The Carlyle Group,5579
The Carlyle Group,5579
The Carlyle Group,5579
The Carlyle Group,5579
DigitalDX Ventures,20270
Merida Capital Holdings,18863
Ares Management,6844
Ares Management,6844
Ares Management,6844
Ares Management,6844
Ares Management,6844
Ares Management,6844
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Varagon Capital Partners,17742
Canson Capital Partners,19117
Mesirow,6595
Mesirow,6595
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
