fm_strategy_id,fm_id,regions,strategy
1906,483,Asia-Pacific,Buyout / Corporate Private Equity
2093,483,Central/Eastern Europe,Buyout / Corporate Private Equity
1373,483,Latin America,Buyout / Corporate Private Equity
429,483,Middle East/Africa,Buyout / Corporate Private Equity
1168,483,Western Europe,Buyout / Corporate Private Equity
1202,483,North America,Distressed / Turnaround
1184,483,Asia-Pacific,Distressed / Turnaround
1231,483,Central/Eastern Europe,Distressed / Turnaround
360,483,Latin America,Distressed / Turnaround
1250,483,Middle East/Africa,Distressed / Turnaround
427,483,Western Europe,Distressed / Turnaround
887,483,North America,Fund of Funds / Co-Investment
746,483,Asia-Pacific,Fund of Funds / Co-Investment
1735,483,Central/Eastern Europe,Fund of Funds / Co-Investment
352,483,Latin America,Fund of Funds / Co-Investment
820,483,Middle East/Africa,Fund of Funds / Co-Investment
1193,483,Western Europe,Fund of Funds / Co-Investment
2157,483,North America,Mezzanine / Debt
633,483,Asia-Pacific,Mezzanine / Debt
2086,483,Central/Eastern Europe,Mezzanine / Debt
1288,483,Latin America,Mezzanine / Debt
1662,483,Middle East/Africa,Mezzanine / Debt
463,483,Western Europe,Mezzanine / Debt
977,483,North America,Other
1791,483,North America,Secondaries
1033,483,Asia-Pacific,Secondaries
2097,483,Central/Eastern Europe,Secondaries
325,483,Latin America,Secondaries
1878,483,Middle East/Africa,Secondaries
1124,483,Western Europe,Secondaries
621,483,North America,Venture Capital / Growth Equity
1556,483,Asia-Pacific,Venture Capital / Growth Equity
1847,483,Central/Eastern Europe,Venture Capital / Growth Equity
481,483,Latin America,Venture Capital / Growth Equity
2161,483,Middle East/Africa,Venture Capital / Growth Equity
926,483,Western Europe,Venture Capital / Growth Equity
1509,18670,North America,Venture Capital / Growth Equity
527,18670,Western Europe,Venture Capital / Growth Equity
870,18670,Central/Eastern Europe,Venture Capital / Growth Equity
1211,18670,Middle East/Africa,Venture Capital / Growth Equity
1047,18670,Asia-Pacific,Venture Capital / Growth Equity
1463,18670,Latin America,Venture Capital / Growth Equity
62,9785,North America,Buyout / Corporate Private Equity
191,9785,North America,Distressed / Turnaround
690,9785,North America,Fund of Funds / Co-Investment
586,9785,North America,Venture Capital / Growth Equity
2004,954,North America,Buyout / Corporate Private Equity
961,954,Asia-Pacific,Buyout / Corporate Private Equity
1463,954,Central/Eastern Europe,Buyout / Corporate Private Equity
73,954,Latin America,Buyout / Corporate Private Equity
592,954,Middle East/Africa,Buyout / Corporate Private Equity
802,954,Western Europe,Buyout / Corporate Private Equity
204,954,North America,Distressed / Turnaround
1081,954,Asia-Pacific,Distressed / Turnaround
810,954,Central/Eastern Europe,Distressed / Turnaround
950,954,Latin America,Distressed / Turnaround
325,954,Middle East/Africa,Distressed / Turnaround
1705,954,Western Europe,Distressed / Turnaround
1843,954,North America,Mezzanine / Debt
628,954,Asia-Pacific,Mezzanine / Debt
1305,954,Central/Eastern Europe,Mezzanine / Debt
432,954,Latin America,Mezzanine / Debt
1809,954,Middle East/Africa,Mezzanine / Debt
87,954,Western Europe,Mezzanine / Debt
1310,954,North America,Secondaries
1837,954,Asia-Pacific,Secondaries
854,954,Central/Eastern Europe,Secondaries
37,954,Latin America,Secondaries
326,954,Middle East/Africa,Secondaries
49,954,Western Europe,Secondaries
179,954,North America,Venture Capital / Growth Equity
1674,954,Asia-Pacific,Venture Capital / Growth Equity
42,954,Central/Eastern Europe,Venture Capital / Growth Equity
950,954,Latin America,Venture Capital / Growth Equity
929,954,Middle East/Africa,Venture Capital / Growth Equity
90,954,Western Europe,Venture Capital / Growth Equity
241,1801,North America,Buyout / Corporate Private Equity
873,1801,Asia-Pacific,Buyout / Corporate Private Equity
1240,1801,Central/Eastern Europe,Buyout / Corporate Private Equity
986,1801,Latin America,Buyout / Corporate Private Equity
89,1801,Middle East/Africa,Buyout / Corporate Private Equity
630,1801,Western Europe,Buyout / Corporate Private Equity
266,1801,North America,Distressed / Turnaround
453,1801,Asia-Pacific,Distressed / Turnaround
383,1801,Central/Eastern Europe,Distressed / Turnaround
1565,1801,Latin America,Distressed / Turnaround
138,1801,Middle East/Africa,Distressed / Turnaround
1271,1801,Western Europe,Distressed / Turnaround
883,1801,North America,Fund of Funds / Co-Investment
1292,1801,Asia-Pacific,Fund of Funds / Co-Investment
1541,1801,Central/Eastern Europe,Fund of Funds / Co-Investment
1669,1801,Latin America,Fund of Funds / Co-Investment
1360,1801,Middle East/Africa,Fund of Funds / Co-Investment
1730,1801,Western Europe,Fund of Funds / Co-Investment
1405,1801,North America,Mezzanine / Debt
352,1801,Asia-Pacific,Mezzanine / Debt
559,1801,Central/Eastern Europe,Mezzanine / Debt
956,1801,Latin America,Mezzanine / Debt
1889,1801,Middle East/Africa,Mezzanine / Debt
29,1801,Western Europe,Mezzanine / Debt
1768,1801,North America,Secondaries
1892,1801,Asia-Pacific,Secondaries
1654,1801,Central/Eastern Europe,Secondaries
689,1801,Latin America,Secondaries
1004,1801,Middle East/Africa,Secondaries
157,1801,Western Europe,Secondaries
1992,1801,North America,Venture Capital / Growth Equity
756,1801,Asia-Pacific,Venture Capital / Growth Equity
960,1801,Central/Eastern Europe,Venture Capital / Growth Equity
718,1801,Latin America,Venture Capital / Growth Equity
75,1801,Middle East/Africa,Venture Capital / Growth Equity
1926,1801,Western Europe,Venture Capital / Growth Equity
807,2898,North America,Buyout / Corporate Private Equity
974,2898,Asia-Pacific,Buyout / Corporate Private Equity
239,2898,Central/Eastern Europe,Buyout / Corporate Private Equity
1863,2898,Latin America,Buyout / Corporate Private Equity
375,2898,Middle East/Africa,Buyout / Corporate Private Equity
1081,2898,Western Europe,Buyout / Corporate Private Equity
2099,2898,North America,Fund of Funds / Co-Investment
1733,2898,Asia-Pacific,Fund of Funds / Co-Investment
1060,2898,Central/Eastern Europe,Fund of Funds / Co-Investment
1417,2898,Latin America,Fund of Funds / Co-Investment
1595,2898,Middle East/Africa,Fund of Funds / Co-Investment
146,2898,Western Europe,Fund of Funds / Co-Investment
337,2898,North America,Mezzanine / Debt
1541,2898,Asia-Pacific,Mezzanine / Debt
2053,2898,Central/Eastern Europe,Mezzanine / Debt
1649,2898,Latin America,Mezzanine / Debt
288,2898,Middle East/Africa,Mezzanine / Debt
611,2898,Western Europe,Mezzanine / Debt
782,2898,North America,Secondaries
785,2898,Asia-Pacific,Secondaries
1805,2898,Central/Eastern Europe,Secondaries
1044,2898,Latin America,Secondaries
23,2898,Middle East/Africa,Secondaries
375,2898,Western Europe,Secondaries
1818,2898,North America,Venture Capital / Growth Equity
2193,2898,Asia-Pacific,Venture Capital / Growth Equity
773,2898,Central/Eastern Europe,Venture Capital / Growth Equity
1468,2898,Latin America,Venture Capital / Growth Equity
2162,2898,Middle East/Africa,Venture Capital / Growth Equity
46,2898,Western Europe,Venture Capital / Growth Equity
1694,20082,North America,Fund of Funds / Co-Investment
1170,20082,Western Europe,Fund of Funds / Co-Investment
1578,20082,Central/Eastern Europe,Fund of Funds / Co-Investment
1749,20082,Middle East/Africa,Fund of Funds / Co-Investment
1773,20082,Asia-Pacific,Fund of Funds / Co-Investment
2001,20082,Latin America,Fund of Funds / Co-Investment
1951,20082,North America,Venture Capital / Growth Equity
1299,20082,Western Europe,Venture Capital / Growth Equity
559,20082,Central/Eastern Europe,Venture Capital / Growth Equity
283,20082,Middle East/Africa,Venture Capital / Growth Equity
1275,20082,Asia-Pacific,Venture Capital / Growth Equity
362,20082,Latin America,Venture Capital / Growth Equity
845,6389,,
512,867,North America,Buyout / Corporate Private Equity
236,867,Asia-Pacific,Buyout / Corporate Private Equity
2068,867,Central/Eastern Europe,Buyout / Corporate Private Equity
1167,867,Latin America,Buyout / Corporate Private Equity
1835,867,Middle East/Africa,Buyout / Corporate Private Equity
537,867,Western Europe,Buyout / Corporate Private Equity
853,867,Middle East/Africa,Mezzanine / Debt
1783,867,Western Europe,Mezzanine / Debt
597,867,North America,Other
1778,867,Asia-Pacific,Other
1067,867,Central/Eastern Europe,Other
1249,867,Latin America,Other
1600,867,Middle East/Africa,Other
1974,867,Western Europe,Other
2189,867,North America,Venture Capital / Growth Equity
1206,867,Asia-Pacific,Venture Capital / Growth Equity
2087,867,Central/Eastern Europe,Venture Capital / Growth Equity
1200,867,Latin America,Venture Capital / Growth Equity
165,867,Middle East/Africa,Venture Capital / Growth Equity
1324,867,Western Europe,Venture Capital / Growth Equity
1833,2161,North America,Buyout / Corporate Private Equity
889,2161,Asia-Pacific,Buyout / Corporate Private Equity
275,2161,Western Europe,Buyout / Corporate Private Equity
208,2161,North America,Fund of Funds / Co-Investment
1022,2161,Asia-Pacific,Fund of Funds / Co-Investment
632,2161,Western Europe,Fund of Funds / Co-Investment
1639,2161,North America,Venture Capital / Growth Equity
612,2161,Asia-Pacific,Venture Capital / Growth Equity
12,2161,Western Europe,Venture Capital / Growth Equity
505,5595,North America,Buyout / Corporate Private Equity
719,5595,Asia-Pacific,Buyout / Corporate Private Equity
510,5595,Central/Eastern Europe,Buyout / Corporate Private Equity
46,5595,Latin America,Buyout / Corporate Private Equity
1053,5595,Middle East/Africa,Buyout / Corporate Private Equity
853,5595,Western Europe,Buyout / Corporate Private Equity
2137,5595,North America,Fund of Funds / Co-Investment
204,5595,Asia-Pacific,Fund of Funds / Co-Investment
1547,5595,Central/Eastern Europe,Fund of Funds / Co-Investment
378,5595,Latin America,Fund of Funds / Co-Investment
146,5595,Middle East/Africa,Fund of Funds / Co-Investment
1064,5595,Western Europe,Fund of Funds / Co-Investment
1913,5595,North America,Mezzanine / Debt
1012,5595,Asia-Pacific,Mezzanine / Debt
1183,5595,Central/Eastern Europe,Mezzanine / Debt
283,5595,Latin America,Mezzanine / Debt
115,5595,Middle East/Africa,Mezzanine / Debt
125,5595,Western Europe,Mezzanine / Debt
2146,5595,North America,Other
1616,5595,Asia-Pacific,Other
992,5595,Central/Eastern Europe,Other
461,5595,Latin America,Other
2018,5595,Middle East/Africa,Other
1106,5595,Western Europe,Other
1134,5595,North America,Secondaries
1590,5595,Asia-Pacific,Secondaries
1639,5595,Central/Eastern Europe,Secondaries
1391,5595,Latin America,Secondaries
2084,5595,Middle East/Africa,Secondaries
2101,5595,Western Europe,Secondaries
2060,5595,North America,Venture Capital / Growth Equity
1748,5595,Asia-Pacific,Venture Capital / Growth Equity
2057,5595,Central/Eastern Europe,Venture Capital / Growth Equity
1414,5595,Latin America,Venture Capital / Growth Equity
726,5595,Middle East/Africa,Venture Capital / Growth Equity
503,5595,Western Europe,Venture Capital / Growth Equity
2110,8996,Asia-Pacific,Venture Capital / Growth Equity
36,3901,North America,Other
463,3901,Asia-Pacific,Other
1236,3901,Latin America,Other
712,3901,Middle East/Africa,Other
933,3901,Western Europe,Other
1411,3901,North America,Venture Capital / Growth Equity
428,3901,Asia-Pacific,Venture Capital / Growth Equity
194,3901,Central/Eastern Europe,Venture Capital / Growth Equity
647,3901,Latin America,Venture Capital / Growth Equity
1835,3901,Middle East/Africa,Venture Capital / Growth Equity
2177,3901,Western Europe,Venture Capital / Growth Equity
17,6635,North America,Buyout / Corporate Private Equity
533,6635,Asia-Pacific,Buyout / Corporate Private Equity
795,6635,Central/Eastern Europe,Buyout / Corporate Private Equity
459,6635,Latin America,Buyout / Corporate Private Equity
2139,6635,Middle East/Africa,Buyout / Corporate Private Equity
275,6635,Western Europe,Buyout / Corporate Private Equity
354,6635,North America,Distressed / Turnaround
276,6635,Asia-Pacific,Distressed / Turnaround
1782,6635,Central/Eastern Europe,Distressed / Turnaround
639,6635,Latin America,Distressed / Turnaround
1920,6635,Middle East/Africa,Distressed / Turnaround
872,6635,Western Europe,Distressed / Turnaround
1593,6635,North America,Fund of Funds / Co-Investment
581,6635,Asia-Pacific,Fund of Funds / Co-Investment
1439,6635,Central/Eastern Europe,Fund of Funds / Co-Investment
1311,6635,Latin America,Fund of Funds / Co-Investment
37,6635,Middle East/Africa,Fund of Funds / Co-Investment
1342,6635,Western Europe,Fund of Funds / Co-Investment
2028,6635,North America,Mezzanine / Debt
1627,6635,Asia-Pacific,Mezzanine / Debt
2114,6635,Central/Eastern Europe,Mezzanine / Debt
806,6635,Latin America,Mezzanine / Debt
519,6635,Middle East/Africa,Mezzanine / Debt
1402,6635,Western Europe,Mezzanine / Debt
741,6635,North America,Secondaries
1885,6635,Asia-Pacific,Secondaries
1886,6635,Central/Eastern Europe,Secondaries
1966,6635,Latin America,Secondaries
2133,6635,Middle East/Africa,Secondaries
1000,6635,Western Europe,Secondaries
1224,6635,North America,Venture Capital / Growth Equity
1027,6635,Asia-Pacific,Venture Capital / Growth Equity
1629,6635,Central/Eastern Europe,Venture Capital / Growth Equity
37,6635,Latin America,Venture Capital / Growth Equity
1619,6635,Middle East/Africa,Venture Capital / Growth Equity
169,6635,Western Europe,Venture Capital / Growth Equity
1619,6595,North America,Buyout / Corporate Private Equity
2048,6595,Western Europe,Buyout / Corporate Private Equity
1999,6595,North America,Distressed / Turnaround
754,6595,Western Europe,Distressed / Turnaround
1104,6595,North America,Mezzanine / Debt
1061,6595,Western Europe,Mezzanine / Debt
1122,6595,North America,Venture Capital / Growth Equity
1122,6595,Western Europe,Venture Capital / Growth Equity
67,1079,North America,Venture Capital / Growth Equity
1932,1079,Asia-Pacific,Venture Capital / Growth Equity
1045,1079,Central/Eastern Europe,Venture Capital / Growth Equity
730,1079,Latin America,Venture Capital / Growth Equity
115,1079,Middle East/Africa,Venture Capital / Growth Equity
1887,1079,Western Europe,Venture Capital / Growth Equity
2190,7735,North America,Buyout / Corporate Private Equity
