lp_sector_id,lp_id,sector,has_appetite
30175,9,Retail,True
29977,9,TMT,False
974,9,Transport,False
60573,10,Biotech / Life Science,True
60141,10,Clean Tech / Renewable,True
8656,10,Consumer Goods,True
3208,10,Diversified,True
27014,10,Energy / Oil & Gas,True
63775,10,Financial Services,False
43983,10,Healthcare,True
40467,10,Industrials,False
16412,10,Leisure,False
23696,10,Manufacturing,False
49768,10,Natural Resources,False
58,10,Other,False
35917,10,Retail,True
43375,10,TMT,True
61721,10,Transport,False
19812,14,Biotech / Life Science,True
12417,14,Clean Tech / Renewable,True
25994,14,Consumer Goods,True
60921,14,Diversified,True
25257,14,Energy / Oil & Gas,True
16506,14,Financial Services,True
36524,14,Healthcare,True
13955,14,Industrials,True
27653,14,Leisure,False
38883,14,Manufacturing,True
26266,14,Natural Resources,False
9220,14,Other,True
27493,14,Retail,True
15349,14,TMT,True
49647,14,Transport,True
38504,15,Biotech / Life Science,True
22576,15,Clean Tech / Renewable,True
30908,15,Consumer Goods,True
59055,15,Diversified,False
51934,15,Energy / Oil & Gas,True
34801,15,Financial Services,True
14527,15,Healthcare,True
10624,15,Industrials,False
13424,15,Leisure,False
9163,15,Manufacturing,True
58403,15,Natural Resources,False
55671,15,Other,False
28271,15,Retail,True
52930,15,TMT,True
6888,15,Transport,False
465,16,Biotech / Life Science,False
20828,16,Clean Tech / Renewable,False
26101,16,Consumer Goods,False
27124,16,Diversified,True
59645,16,Energy / Oil & Gas,False
61458,16,Financial Services,False
7616,16,Healthcare,False
20231,16,Industrials,False
30410,16,Leisure,False
60093,16,Manufacturing,False
11519,16,Natural Resources,False
33046,16,Other,False
31949,16,Retail,False
51939,16,TMT,False
45936,16,Transport,False
60815,18,Biotech / Life Science,False
22866,18,Clean Tech / Renewable,False
17901,18,Consumer Goods,False
56477,18,Diversified,True
58026,18,Energy / Oil & Gas,False
44786,18,Financial Services,True
60845,18,Healthcare,True
41610,18,Industrials,True
59365,18,Leisure,False
53185,18,Manufacturing,True
29181,18,Natural Resources,False
4428,18,Other,False
6616,18,Retail,False
33553,18,TMT,True
32539,18,Transport,False
59570,19,Biotech / Life Science,True
19424,19,Clean Tech / Renewable,True
61176,19,Consumer Goods,True
13021,19,Diversified,True
5321,19,Energy / Oil & Gas,True
40837,19,Financial Services,True
53560,19,Healthcare,True
37299,19,Industrials,True
2284,19,Leisure,False
22409,19,Manufacturing,True
23142,19,Natural Resources,True
24999,19,Other,False
38009,19,Retail,True
1420,19,TMT,True
4771,19,Transport,True
31248,20,Biotech / Life Science,True
2761,20,Clean Tech / Renewable,False
49722,20,Consumer Goods,False
36010,20,Diversified,True
8697,20,Energy / Oil & Gas,False
30272,20,Financial Services,True
17528,20,Healthcare,False
28915,20,Industrials,False
16218,20,Leisure,False
25045,20,Manufacturing,False
45418,20,Natural Resources,False
44873,20,Other,False
5379,20,Retail,False
37674,20,TMT,True
49202,20,Transport,False
36698,23,Biotech / Life Science,False
19754,23,Clean Tech / Renewable,False
33266,23,Consumer Goods,True
46084,23,Diversified,True
61333,23,Energy / Oil & Gas,False
63446,23,Financial Services,False
3115,23,Healthcare,True
9844,23,Industrials,False
20287,23,Leisure,False
41734,23,Manufacturing,False
51747,23,Natural Resources,False
34133,23,Other,False
43635,23,Retail,False
56986,23,TMT,True
28592,23,Transport,False
42369,24,Biotech / Life Science,False
12636,24,Clean Tech / Renewable,False
33566,24,Consumer Goods,False
554,24,Diversified,True
30172,24,Energy / Oil & Gas,False
18600,24,Financial Services,False
31571,24,Healthcare,True
11066,24,Industrials,False
16532,24,Leisure,False
13914,24,Manufacturing,False
31402,24,Natural Resources,False
20669,24,Other,False
18873,24,Retail,False
57782,24,TMT,False
4101,24,Transport,False
63058,25,Biotech / Life Science,True
20624,25,Clean Tech / Renewable,False
24100,25,Consumer Goods,True
45223,25,Diversified,True
21048,25,Energy / Oil & Gas,True
54478,25,Financial Services,True
11843,25,Healthcare,True
10701,25,Industrials,False
114,25,Leisure,False
58504,25,Manufacturing,False
25930,25,Natural Resources,False
52363,25,Other,False
43565,25,Retail,False
28454,25,TMT,True
35023,25,Transport,False
54608,26,Biotech / Life Science,False
21163,26,Clean Tech / Renewable,False
34481,26,Consumer Goods,False
2508,26,Diversified,True
50124,26,Energy / Oil & Gas,False
42747,26,Financial Services,False
59298,26,Healthcare,False
22958,26,Industrials,False
55944,26,Leisure,False
62645,26,Manufacturing,False
9453,26,Natural Resources,False
48316,26,Other,False
4800,26,Retail,False
29449,26,TMT,True
28187,26,Transport,False
24953,27,Biotech / Life Science,False
40762,27,Clean Tech / Renewable,True
47220,27,Consumer Goods,True
38528,27,Diversified,True
56043,27,Energy / Oil & Gas,True
50978,27,Financial Services,True
34218,27,Healthcare,True
44909,27,Industrials,False
46691,27,Leisure,False
11688,27,Manufacturing,False
13421,27,Natural Resources,True
33630,27,Other,False
27127,27,Retail,True
26218,27,TMT,True
34724,27,Transport,False
14549,28,Biotech / Life Science,True
22727,28,Clean Tech / Renewable,False
27963,28,Consumer Goods,True
32428,28,Diversified,True
45542,28,Energy / Oil & Gas,False
58576,28,Financial Services,True
39770,28,Healthcare,True
45942,28,Industrials,False
23224,28,Leisure,False
57160,28,Manufacturing,False
34906,28,Natural Resources,False
24025,28,Other,False
2058,28,Retail,True
11144,28,TMT,True
28263,28,Transport,False
34209,30,Biotech / Life Science,False
44762,30,Clean Tech / Renewable,False
54254,30,Consumer Goods,True
61014,30,Diversified,True
40866,30,Energy / Oil & Gas,True
9866,30,Financial Services,True
14227,30,Healthcare,True
42569,30,Industrials,True
29834,30,Leisure,False
18204,30,Manufacturing,False
50496,30,Natural Resources,True
43889,30,Other,False
49399,30,Retail,True
57887,30,TMT,True
56594,30,Transport,True
13914,31,Biotech / Life Science,False
48970,31,Clean Tech / Renewable,False
23895,31,Consumer Goods,False
49584,31,Diversified,True
48739,31,Energy / Oil & Gas,False
49108,31,Financial Services,False
34787,31,Healthcare,False
19318,31,Industrials,False
37933,31,Leisure,False
55838,31,Manufacturing,False
48185,31,Natural Resources,False
22287,31,Other,False
4484,31,Retail,False
3470,31,TMT,False
22534,31,Transport,False
42011,32,Biotech / Life Science,True
43570,32,Clean Tech / Renewable,True
51840,32,Consumer Goods,True
34713,32,Diversified,True
29439,32,Energy / Oil & Gas,True
49355,32,Financial Services,True
4032,32,Healthcare,True
47397,32,Industrials,True
38173,32,Leisure,False
37808,32,Manufacturing,False
