,lp_id,type_id
694,1317,26
695,1318,27
696,1323,9
697,1324,9
698,1325,9
699,1326,17
700,1327,17
701,1328,25
702,1329,8
703,1330,1
704,1331,8
705,1333,17
706,1335,12
707,1340,25
708,1349,1
709,1355,25
710,1357,26
711,1358,4
712,1359,4
713,1361,3
714,1362,4
715,1366,12
716,1371,26
717,1372,1
718,1375,8
719,1376,27
720,1379,12
721,1382,27
722,1386,1
723,1389,1
724,1392,8
725,1393,1
726,1399,12
727,1402,9
728,1405,9
729,1409,8
730,1410,23
731,1414,8
732,1417,5
733,1422,8
734,1427,9
735,1433,12
736,1435,8
737,1438,23
738,1441,25
739,1447,1
740,1451,26
741,1461,18
742,1462,9
743,1466,9
744,1468,8
745,1470,1
746,1471,8
747,1472,9
748,1473,3
749,1474,26
750,1476,8
751,1478,5
752,1479,26
753,1480,12
754,1481,1
755,1483,26
756,1487,12
757,1488,12
758,1491,12
759,1492,12
760,1493,12
761,1494,12
762,1495,12
763,1497,12
764,1498,12
765,1499,12
766,1500,12
767,1507,3
768,1509,26
769,1510,12
770,1511,12
771,1512,12
772,1513,12
773,1514,12
774,1515,12
775,1516,12
776,1517,12
777,1518,12
778,1519,25
779,1520,25
780,1521,3
781,1522,25
782,1523,3
783,1524,8
784,1525,3
785,1527,8
786,1528,12
787,1529,12
788,1530,12
789,1531,12
790,1533,12
791,1534,12
792,1535,12
793,1538,3
794,1540,3
795,1541,3
796,1542,3
797,1544,3
798,1548,17
799,1549,5
800,1551,25
801,1555,25
802,1556,25
803,1559,1
804,1561,25
805,1562,25
806,1569,9
807,1572,5
808,1573,4
809,1574,23
810,1579,1
811,1582,8
812,1586,9
813,1587,9
814,1588,9
815,1595,12
816,1596,17
817,1597,4
818,1598,8
819,1600,5
820,1603,9
821,1607,4
822,1610,1
823,1615,4
824,1618,5
825,1623,5
826,1625,25
827,1626,25
828,1628,9
829,1633,17
830,1635,25
831,1640,25
832,1649,25
833,1650,25
834,1651,8
835,1655,4
836,1657,12
837,1658,4
838,1663,25
839,1665,4
840,1671,1
841,1672,17
842,1675,12
843,1676,5
844,1678,25
845,1679,12
846,1683,9
847,1687,25
848,1688,17
849,1690,9
850,1695,26
851,1697,12
852,1698,12
853,1699,5
854,1702,9
855,1706,17
856,1708,17
857,1709,25
858,1710,23
859,1713,4
860,1716,18
861,1718,1
862,1721,17
863,1722,1
864,1723,12
865,1724,23
866,1725,5
867,1726,5
868,1727,9
869,1728,5
870,1729,5
871,1732,9
872,1733,9
873,1734,8
874,1735,1
875,1736,26
876,1737,9
877,1738,25
878,1739,13
879,1742,9
880,1745,13
881,1747,17
882,1748,17
883,1751,17
884,1752,12
885,1754,9
886,1757,17
887,1758,5
888,1761,8
889,1762,1
890,1764,12
891,1767,18
892,1768,8
893,1770,25
894,1777,12
895,1779,25
896,1780,17
897,1782,12
898,1784,27
899,1786,5
900,1791,26
901,1796,26
902,1798,12
903,1799,12
904,1800,12
905,1801,17
906,1802,9
907,1806,8
908,1807,25
909,1809,1
910,1811,5
911,1814,25
912,1816,12
913,1818,25
914,1819,12
915,1821,12
916,1822,26
917,1824,12
918,1827,12
919,1830,9
920,1831,1
921,1832,17
922,1837,18
923,1839,12
924,1840,8
925,1841,3
926,1844,5
927,1846,23
928,1847,9
929,1848,12
930,1849,12
931,1851,26
932,1854,5
933,1855,5
934,1857,26
935,1864,25
936,1866,4
937,1867,12
938,1868,26
939,1869,3
940,1870,26
941,1873,25
942,1874,12
943,1875,12
944,1876,12
945,1877,5
946,1878,5
947,1879,12
948,1880,5
949,1881,12
950,1882,12
951,1884,5
952,1885,17
953,1886,12
954,1888,12
955,1889,12
956,1891,9
957,1892,26
958,1894,12
959,1895,26
960,1897,9
961,1899,27
962,1900,12
963,1903,12
964,1905,12
965,1907,26
966,1908,5
967,1911,4
968,1913,12
969,1914,9
970,1915,12
971,1917,25
972,1919,23
973,1920,12
974,1921,5
975,1923,25
976,1924,4
977,1925,12
978,1926,12
979,1929,12
980,1930,26
981,1933,26
982,1934,26
983,1935,12
984,1936,12
985,1939,26
986,1940,4
987,1941,12
988,1943,12
989,1946,8
990,1947,12
991,1952,1
992,1958,12
993,1959,12
994,1961,12
995,1962,25
996,1966,27
997,1968,27
998,1970,25
999,1971,25
1000,1972,26
1001,1974,17
1002,1978,12
1003,1985,8
1004,1986,1
1005,1988,12
1006,1992,8
1007,1995,26
1008,2000,26
1009,2002,5
1010,2005,25
1011,2011,17
1012,2015,12
1013,2017,1
1014,2019,5
1015,2020,8
1016,2021,12
1017,2025,23
1018,2026,23
1019,2027,23
1020,2029,26
1021,2030,26
1022,2031,12
1023,2034,26
1024,2037,26
1025,2041,17
1026,2042,9
1027,2043,9
1028,2044,4
1029,2045,25
1030,2046,5
1031,2048,5
1032,2049,5
1033,2050,5
1034,2053,5
1035,2055,5
1036,2056,5
1037,2060,8
1038,2061,12
1039,2062,12
1040,2063,26
1041,2064,4
1042,2065,9
1043,2069,17
1044,2070,5
1045,2071,12
1046,2072,12
1047,2074,1
1048,2076,12
1049,2077,12
1050,2078,5
1051,2079,12
1052,2080,5
1053,2081,26
1054,2082,8
1055,2083,8
1056,2084,12
1057,2087,12
1058,2088,17
1059,2089,12
1060,2093,12
1061,2094,5
1062,2095,5
1063,2097,18
