,type
628,Private Pension Fund
629,Private Pension Fund
630,Private Pension Fund
631,Corporate
632,Private Pension Fund
633,Private Pension Fund
634,Private Pension Fund
635,Private Pension Fund
636,Private Pension Fund
637,Private Pension Fund
638,Private Pension Fund
639,Private Pension Fund
640,Private Pension Fund
641,Private Pension Fund
642,Private Pension Fund
643,Private Pension Fund
646,Foundation / Endowment
647,Private Pension Fund
648,Private Pension Fund
649,Asset Manager
652,Private Pension Fund
653,Private Pension Fund
654,Corporate
656,Private Pension Fund
658,Private Pension Fund
659,Corporate
662,Private Pension Fund
673,Investment Firm
684,Investment Firm
696,Investment Firm
711,Family Office
712,Family Office
714,Family Office
727,Investment Firm
734,Investment Firm
746,Insurance Company
747,Investment Firm
749,Private Pension Fund
750,Insurance Company
751,Foundation / Endowment
753,Public Pension Fund
768,Private Pension Fund
799,Foundation / Endowment
807,Foundation / Endowment
810,Asset Manager
815,Public Pension Fund
818,Insurance Company
819,Foundation / Endowment
821,Family Office
823,Family Office
827,Bank / Financial Services
828,Investment Firm
829,Fund of Funds Manager
835,Family Office
837,Family Office
839,Family Office
840,Asset Manager
841,Fund of Funds Manager
843,Foundation / Endowment
848,Fund of Funds Manager
852,Public Pension Fund
853,Foundation / Endowment
855,Fund of Funds Manager
856,Fund of Funds Manager
859,Family Office
861,Asset Manager
862,Fund of Funds Manager
863,Asset Manager
864,Public Pension Fund
865,Government Related Investment Organisation
866,Foundation / Endowment
867,Foundation / Endowment
868,Investment Firm
869,Foundation / Endowment
870,Foundation / Endowment
871,Investment Firm
872,Investment Firm
878,Gatekeepers
880,Gatekeepers
881,Fund of Funds Manager
882,Fund of Funds Manager
883,Fund of Funds Manager
887,Foundation / Endowment
889,Asset Manager
894,Public Pension Fund
896,Fund of Funds Manager
897,Public Pension Fund
898,Sovereign Wealth Fund
899,Foundation / Endowment
902,Public Pension Fund
903,Public Pension Fund
904,Public Pension Fund
905,Fund of Funds Manager
910,Foundation / Endowment
922,Independent Firm
927,Government Related Investment Organisation
929,Public Pension Fund
932,Foundation / Endowment
933,Foundation / Endowment
936,Family Office
938,Private Pension Fund
941,Bank / Financial Services
943,Public Pension Fund
944,Public Pension Fund
945,Foundation / Endowment
946,Foundation / Endowment
947,Public Pension Fund
948,Foundation / Endowment
949,Public Pension Fund
950,Public Pension Fund
951,Foundation / Endowment
965,Private Pension Fund
966,Foundation / Endowment
970,Public Pension Fund
971,Bank / Financial Services
974,Foundation / Endowment
981,Private Pension Fund
987,Public Pension Fund
992,Public Pension Fund
993,Public Pension Fund
1001,Fund of Funds Manager
1008,Private Pension Fund
1011,Fund of Funds Manager
1022,Public Pension Fund
1027,Investment Firm
1030,Foundation / Endowment
1031,Foundation / Endowment
1032,Foundation / Endowment
1033,Foundation / Endowment
1034,Foundation / Endowment
1035,Foundation / Endowment
1036,Foundation / Endowment
1039,Public Pension Fund
1040,Private Pension Fund
1042,Investment Firm
1043,Fund of Funds Manager
1044,Foundation / Endowment
1046,Public Pension Fund
1049,Public Pension Fund
1050,Foundation / Endowment
1051,Public Pension Fund
1052,Foundation / Endowment
1053,Private Pension Fund
1055,Insurance Company
1056,Public Pension Fund
1058,Fund of Funds Manager
1059,Public Pension Fund
1061,Foundation / Endowment
1062,Foundation / Endowment
1064,Private Pension Fund
1065,Private Pension Fund
1066,Public Pension Fund
1067,Foundation / Endowment
1068,Foundation / Endowment
1070,Public Pension Fund
1071,Public Pension Fund
1072,Foundation / Endowment
1075,Public Pension Fund
1078,Public Pension Fund
1079,Gatekeepers
1081,Public Pension Fund
1082,Public Pension Fund
1083,Public Pension Fund
1085,Foundation / Endowment
1086,Public Pension Fund
1087,Asset Manager
1088,Public Pension Fund
1089,Private Pension Fund
1090,Corporate
1091,Corporate
1094,Asset Manager
1095,Public Pension Fund
1099,Corporate
1102,Public Pension Fund
1103,Public Pension Fund
1104,Asset Manager
1105,Public Pension Fund
1106,Corporate
1107,Public Pension Fund
1111,Asset Manager
1112,Private Pension Fund
1113,Public Pension Fund
1115,Investment Firm
1116,Corporate
1117,Private Pension Fund
1118,Private Pension Fund
1120,Family Office
1121,Public Pension Fund
1122,Foundation / Endowment
1123,Foundation / Endowment
1124,Foundation / Endowment
1125,Foundation / Endowment
1127,Foundation / Endowment
1128,Foundation / Endowment
1129,Foundation / Endowment
1130,Asset Manager
1131,Investment Firm
1133,Public Pension Fund
1134,Public Pension Fund
1136,Foundation / Endowment
1137,Foundation / Endowment
1138,Public Pension Fund
1141,Foundation / Endowment
1142,Corporate
1144,Private Pension Fund
1145,Public Pension Fund
1146,Foundation / Endowment
1148,Foundation / Endowment
1149,Foundation / Endowment
1150,Foundation / Endowment
1151,Foundation / Endowment
1152,Foundation / Endowment
1153,Foundation / Endowment
1154,Investment Firm
1156,Foundation / Endowment
1157,Foundation / Endowment
1159,Foundation / Endowment
1161,Foundation / Endowment
1164,Public Pension Fund
1167,Public Pension Fund
1170,Public Pension Fund
1172,Investment Firm
1177,Public Pension Fund
1178,Public Pension Fund
1181,Fund of Funds Manager
1184,Investment Firm
1185,Fund of Funds Manager
1186,Private Pension Fund
1187,Foundation / Endowment
1190,Private Pension Fund
1191,Public Pension Fund
1192,Foundation / Endowment
1195,Public Pension Fund
1196,Foundation / Endowment
1197,Public Pension Fund
1199,Public Pension Fund
1208,Investment Firm
